@relation data_combine

@attribute Year numeric
@attribute 'Unit Name' {DMP,CMP,KMP,RMP,BMP,SMP,'Dhaka Range','Mymensingh Range','Chittagong Range','Sylhet Range','Khulna Range','Barisal Range','Rajshahi Range','Rangpur Range','Railway Range',GMP,RPMP}
@attribute Dacoity numeric
@attribute Robbery numeric
@attribute Murder numeric
@attribute 'Speedy Trial' numeric
@attribute Riot numeric
@attribute 'Woman & Child Repression' numeric
@attribute Kidnapping numeric
@attribute 'Police Assault' numeric
@attribute Burglary numeric
@attribute Theft numeric
@attribute 'Other Cases' numeric
@attribute 'Arms Act' numeric
@attribute Explosive numeric
@attribute Narcotics numeric
@attribute Smuggling numeric
@attribute 'Total Cases' numeric

@data
2014,GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,RPMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,DMP,45,205,239,226,26,1550,146,118,642,1711,5795,263,195,8365,201,19727
2015,CMP,5,61,105,67,25,357,51,30,128,262,1497,101,40,2090,43,4862
2015,KMP,9,15,30,19,0,146,7,3,49,95,574,21,13,659,2,1642
2015,RMP,0,19,20,12,4,131,8,18,39,66,463,23,30,733,179,1745
2015,BMP,2,11,15,5,0,110,4,8,33,50,371,17,0,557,2,1185
2015,SMP,19,14,37,22,4,139,10,8,25,89,819,11,5,183,8,1393
2015,'Dhaka Range',151,164,1239,563,0,5042,204,118,472,1565,20501,365,68,12405,520,43377
2015,'Mymensingh Range',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,'Chittagong Range',107,133,688,151,28,3886,98,163,406,906,13618,498,59,8012,224,28977
2015,'Sylhet Range',26,26,252,70,3,943,33,43,76,326,5442,54,11,1575,211,9091
2015,'Khulna Range',41,112,439,151,2,2478,79,41,250,513,8972,330,119,3787,1217,18531
2015,'Barisal Range',31,47,175,58,1,1497,53,20,156,266,6767,26,22,1019,27,10165
2015,'Rajshahi Range',37,66,446,159,0,2339,70,40,72,441,9259,313,144,5797,2072,21255
2015,'Rangpur Range',17,50,328,44,0,2587,34,23,146,460,9898,53,10,1988,1355,16993
2015,'Railway Range',2,10,24,2,0,5,8,1,1,71,141,4,9,496,118,892
2015,GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,RPMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,DMP,23,131,165,217,1,1651,103,72,547,1516,5407,244,88,9627,108,19900
2016,CMP,6,58,90,63,11,344,30,16,88,196,1634,160,6,3457,31,6190
2016,KMP,6,11,36,19,0,158,10,4,45,78,514,17,7,801,4,1710
2016,RMP,5,18,15,5,5,108,11,14,40,66,357,13,12,1114,173,1956
2016,BMP,6,7,16,8,0,105,2,4,41,45,444,15,0,655,1,1349
2016,SMP,20,26,38,15,5,235,10,13,27,96,724,17,0,164,8,1398
2016,'Dhaka Range',118,127,881,162,1,3703,139,99,347,1114,13859,356,110,11366,234,32616
2016,'Mymensingh Range',4,15,221,97,0,825,16,29,57,256,4893,36,8,3099,118,9674
2016,'Chittagong Range',71,105,662,138,10,2612,106,99,367,821,12461,561,35,8998,161,27207
2016,'Sylhet Range',20,20,236,40,12,1116,18,46,69,310,5051,45,8,1723,237,8951
2016,'Khulna Range',47,80,370,88,7,1892,65,54,220,446,9315,374,109,4879,649,18595
2016,'Barisal Range',29,36,166,52,1,1538,38,22,155,187,6130,58,12,1679,12,10115
2016,'Rajshahi Range',30,49,383,115,0,1974,60,17,75,477,8304,345,82,9703,1555,23169
2016,'Rangpur Range',22,29,292,32,0,2025,27,29,133,453,8523,45,10,4425,1278,17323
2016,'Railway Range',1,10,20,1,0,160,4,3,2,49,131,5,0,518,111,1015
2016,GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,RPMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,DMP,17,83,216,216,17,1782,75,236,613,1290,5708,155,354,16215,173,27150
2017,CMP,6,65,75,100,0,405,11,34,74,208,1446,365,136,4747,59,7731
2017,KMP,2,6,19,18,0,145,3,3,32,63,385,24,1,1858,45,2604
2017,RMP,0,27,22,14,3,177,17,12,45,64,597,35,19,2847,368,4247
2017,BMP,3,8,17,6,0,101,6,6,44,42,441,16,1,1088,0,1779
2017,SMP,8,12,33,44,0,159,1,39,32,85,731,16,2,520,34,1716
2017,'Dhaka Range',71,96,854,105,0,3014,82,122,304,931,11830,292,65,22682,155,40603
2017,'Mymensingh Range',5,10,265,54,1,1056,20,23,66,301,5294,53,139,6329,100,13716
2017,'Chittagong Range',44,84,728,110,1,1915,93,151,325,701,11445,723,122,13338,145,29925
2017,'Sylhet Range',25,18,272,19,1,885,13,94,84,390,4648,62,19,2438,194,9162
2017,'Khulna Range',26,54,392,27,3,1530,29,14,190,403,7402,369,207,10076,531,21253
2017,'Barisal Range',20,24,166,55,0,1321,20,20,132,205,4975,54,56,4384,2,11434
2017,'Rajshahi Range',21,53,408,126,0,1786,46,27,95,392,6979,257,116,13764,1538,25608
2017,'Rangpur Range',13,13,307,19,0,1908,16,18,91,372,7474,72,57,10921,997,22278
2017,'Railway Range',0,4,27,3,0,4,1,5,0,65,108,2,0,611,159,989
2017,GMP,0,4,26,4,0,46,3,5,7,32,183,18,15,528,1,872
2017,RPMP,1,1,3,2,0,19,8,2,3,17,90,2,1,203,0,352
2018,DMP,1,10,19,10,0,118,9,6,49,127,411,6,3,1370,14,2153
2018,CMP,0,3,9,5,0,22,0,5,6,15,125,38,0,449,1,678
2018,KMP,1,0,4,1,0,8,0,0,6,4,16,2,0,272,3,317
2018,RMP,0,4,1,1,1,11,0,0,4,6,52,3,0,283,35,401
2018,BMP,0,0,0,0,0,14,1,0,4,6,49,1,0,91,0,166
2018,SMP,0,2,5,3,0,15,0,13,2,2,55,0,0,44,2,143
2018,'Dhaka Range',7,11,75,10,0,216,12,13,28,70,889,18,3,1731,6,3089
2018,'Mymensingh Range',1,1,23,1,0,87,2,6,5,24,405,5,2,435,7,1004
2018,'Chittagong Range',4,11,74,4,0,147,6,10,25,51,891,54,1,1108,10,2396
2018,'Sylhet Range',4,5,20,4,0,67,1,8,7,33,412,1,3,139,21,725
